mean,std,max,min,label,filename
-1.272807518641154e-11,591090.864972727,4451710.770458333,-3395159.229541667,1,KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed
6.669627813001474e-14,3274.886316641382,33283.72020833333,-46027.27979166667,1,KC.TARG..HHZ_2024-01-26T10_35_03.608_2024-01-26T10_39_03.608.mseed
4.2443086082736655e-15,2394.903485717622,23723.820958333334,-24136.179041666666,1,KC.TARG..HHZ_2024-02-26T17_54_14.826_2024-02-26T17_58_14.826.mseed
-9.398111918320258e-14,1496.7642879375849,21821.352166666667,-19027.647833333333,1,KC.TARG..HHZ_2024-02-06T01_47_44.849_2024-02-06T01_51_44.849.mseed
-2.2040088272963962e-13,4950.532249160268,51963.85908333334,-55493.14091666666,1,KC.TARG..HHZ_2024-01-29T21_01_39.708_2024-01-29T21_05_39.708.mseed
-4.123042648037275e-14,6566.042227452798,59430.345166666666,-65205.654833333334,1,KC.TARG..HHZ_2024-01-30T01_43_14.513_2024-01-30T01_47_14.513.mseed
-3.516712846855323e-14,1215.3122269225687,17800.050916666667,-12288.949083333333,1,KC.TARG..HHZ_2024-01-29T01_49_57.366_2024-01-29T01_53_57.366.mseed
-3.2256745422879857e-13,19837.89744292038,240201.6225,-251104.3775,1,KC.TARG..HHZ_2024-02-11T04_55_28.565_2024-02-11T04_59_28.565.mseed
6.20881716410319e-13,20066.025248077098,174016.97129166668,-147309.02870833332,1,KC.TARG..HHZ_2024-02-03T13_42_54.386_2024-02-03T13_46_54.386.mseed
-7.215324634065231e-14,2580.632069777188,34491.68758333333,-32873.31241666667,1,KC.TARG..HHZ_2024-01-26T15_58_46.044_2024-01-26T16_02_46.044.mseed
1.6840810227828722e-13,5886.908529082681,73962.1445,-69294.8555,1,KC.TARG..HHZ_2024-01-26T02_24_22.830_2024-01-26T02_28_22.830.mseed
1.4915713109076024e-13,2047.657623542404,21950.358583333335,-21241.641416666665,1,KC.TARG..HHZ_2024-02-15T06_27_09.961_2024-02-15T06_31_09.961.mseed
